date,timestamp,value,classification,week_start
2020-03-03,1583193600,38,Fear,2020-03-02
2020-03-04,1583280000,40,Fear,2020-03-02
2020-03-05,1583366400,41,Fear,2020-03-02
2020-03-06,1583452800,39,Fear,2020-03-02
2020-03-07,1583539200,38,Fear,2020-03-02
2020-03-08,1583625600,33,Fear,2020-03-02
2020-03-09,1583712000,17,Extreme Fear,2020-03-09
2020-03-10,1583798400,16,Extreme Fear,2020-03-09
2020-03-11,1583884800,17,Extreme Fear,2020-03-09
2020-03-12,1583971200,14,Extreme Fear,2020-03-09
2020-03-13,1584057600,10,Extreme Fear,2020-03-09
2020-03-14,1584144000,8,Extreme Fear,2020-03-09
2020-03-15,1584230400,12,Extreme Fear,2020-03-09
2020-03-16,1584316800,9,Extreme Fear,2020-03-16
2020-03-17,1584403200,8,Extreme Fear,2020-03-16
2020-03-18,1584489600,11,Extreme Fear,2020-03-16
2020-03-19,1584576000,12,Extreme Fear,2020-03-16
2020-03-20,1584662400,9,Extreme Fear,2020-03-16
2020-03-21,1584748800,9,Extreme Fear,2020-03-16
2020-03-22,1584835200,11,Extreme Fear,2020-03-16
2020-03-23,1584921600,10,Extreme Fear,2020-03-23
2020-03-24,1585008000,12,Extreme Fear,2020-03-23
2020-03-25,1585094400,13,Extreme Fear,2020-03-23
2020-03-26,1585180800,14,Extreme Fear,2020-03-23
2020-03-27,1585267200,12,Extreme Fear,2020-03-23
2020-03-28,1585353600,8,Extreme Fear,2020-03-23
2020-03-29,1585440000,12,Extreme Fear,2020-03-23
2020-03-30,1585526400,10,Extreme Fear,2020-03-30
2020-03-31,1585612800,12,Extreme Fear,2020-03-30
2020-04-01,1585699200,12,Extreme Fear,2020-03-30
2020-04-02,1585785600,14,Extreme Fear,2020-03-30
2020-04-03,1585872000,14,Extreme Fear,2020-03-30
2020-04-04,1585958400,12,Extreme Fear,2020-03-30
2020-04-05,1586044800,12,Extreme Fear,2020-03-30
2020-04-06,1586131200,12,Extreme Fear,2020-04-06
2020-04-07,1586217600,20,Extreme Fear,2020-04-06
2020-04-08,1586304000,21,Extreme Fear,2020-04-06
2020-04-09,1586390400,22,Extreme Fear,2020-04-06
2020-04-10,1586476800,15,Extreme Fear,2020-04-06
2020-04-11,1586563200,15,Extreme Fear,2020-04-06
2020-04-12,1586649600,10,Extreme Fear,2020-04-06
2020-04-13,1586736000,11,Extreme Fear,2020-04-13
2020-04-14,1586822400,15,Extreme Fear,2020-04-13
2020-04-15,1586908800,18,Extreme Fear,2020-04-13
2020-04-16,1586995200,13,Extreme Fear,2020-04-13
2020-04-17,1587081600,15,Extreme Fear,2020-04-13
2020-04-18,1587168000,18,Extreme Fear,2020-04-13
2020-04-19,1587254400,16,Extreme Fear,2020-04-13
2020-04-20,1587340800,15,Extreme Fear,2020-04-20
2020-04-21,1587427200,17,Extreme Fear,2020-04-20
2020-04-22,1587513600,19,Extreme Fear,2020-04-20
2020-04-23,1587600000,19,Extreme Fear,2020-04-20
2020-04-24,1587686400,20,Extreme Fear,2020-04-20
2020-04-25,1587772800,24,Extreme Fear,2020-04-20
2020-04-26,1587859200,21,Extreme Fear,2020-04-20
2020-04-27,1587945600,28,Fear,2020-04-27
2020-04-28,1588032000,26,Fear,2020-04-27
2020-04-29,1588118400,26,Fear,2020-04-27
2020-04-30,1588204800,44,Fear,2020-04-27
2020-05-01,1588291200,40,Fear,2020-04-27
2020-05-02,1588377600,40,Fear,2020-04-27
2020-05-03,1588464000,45,Fear,2020-04-27
2020-05-04,1588550400,44,Fear,2020-05-04
2020-05-05,1588636800,40,Fear,2020-05-04
2020-05-06,1588723200,42,Fear,2020-05-04
2020-05-07,1588809600,49,Neutral,2020-05-04
2020-05-08,1588896000,55,Greed,2020-05-04
2020-05-09,1588982400,56,Greed,2020-05-04
2020-05-10,1589068800,48,Neutral,2020-05-04
2020-05-11,1589155200,40,Fear,2020-05-11
2020-05-12,1589241600,39,Fear,2020-05-11
